1,Abisinio
2,American shorthair (Pelo corto Americano)
3,American wirehair (gato americano de pelo aspero)
4,Angora turco
5,Australian Mist
6,Azul Britanico (British Shorthair)
7,Azul ruso
8,Balines
9,Bengala
10,Bobtail Americano
11,Bobtail Japones
12,Bombay
13,Bosque de Noruega
14,Brazilian Shorthair (Brasileno pelo corto)
15,Burmes
16,Burmilla
17,California Spangled
18,Ceylan
19,Chartreux
20,Colorpoint Shorthair
21,Cornish rex
22,Criolla
23,Curl Americano
24,Cymric
25,Deutsch Langhaar
26,Devon Rex
27,Domestico europeo
28,Dorado africano
29,Dragon Li
30,Exotico
31,Fold Japones
32,German Rex
33,Habana brown
34,Himalayo
35,Javanes
36,Khao Manee
37,Korat
38,LaPerm
39,Lykoi
40,Maine Coon
41,Manx
42,Mau Egipcio
43,Munchkin
44,Nebelung
45,Ocicat
46,Ojos azules
47,Oriental
48,Oriental de pelo largo
49,Pelo corto Britanico
50,Persa
51,Peterbald
52,Pixie Bob
53,Rabon Japones
54,Ragamuffin
55,Ragdoll
56,Sagrado de Birmania
57,Savannah
58,Scottish Fold
59,Selkirk rex
60,Serengeti
61,Seychellois
62,Siames
63,Siames Moderno
64,Siberiano
65,Singapura
66,Snowshoe
67,Somali
68,Sphynx (Esfinge)
69,Tonkines
70,Van Turco
